# PMU_padrao on SAPHO - cocotb fast sim results
# A=1 f1=62 Hz f0=60 Hz Fs=1920 Hz Fr=60 Hz phi=0.7853981634 rad N=1600 Q20
# TVE compares y_hw[n] against X[n-82] (FIR group delay); '-' while n < 82
#      n         x[n]        Re_hw        Im_hw       abs_hw     fase_deg        fe_hw     ROCOF_hw    TVE_pct
      62    0.6977905    0.0780258    0.0797310    0.1115574    45.619277   62.4007111   -0.0452728          -
      63    0.5391383    0.0833130    0.0864077    0.1200306    46.044611   62.2686310   -0.1320801          -
      64    0.3583679    0.0888405    0.0933990    0.1289031    46.432905   62.0699310   -0.1987000          -
      65    0.1628955    0.0946140    0.1006718    0.1381543    46.776738   61.8329163   -0.2370148          -
      66   -0.0392598    0.1006250    0.1081886    0.1477504    47.074445   61.5880127   -0.2449036          -
      67   -0.2398045    0.1068516    0.1159153    0.1576503    47.329910   61.3637238   -0.2242889          -
      68   -0.4305111    0.1132584    0.1238251    0.1678097    47.551960   61.1830597   -0.1806641          -
      69   -0.6035559    0.1198072    0.1318998    0.1781891    47.750507   61.0594940   -0.1235657          -
      70   -0.7518398    0.1264544    0.1401358    0.1887558    47.937844   60.9986115   -0.0608826          -
      71   -0.8692793    0.1331606    0.1485386    0.1994880    48.124683   60.9965363   -0.0020752          -
      72   -0.9510565    0.1398935    0.1571245    0.2103766    48.320194   61.0424347    0.0458984          -
      73   -0.9938165    0.1466331    0.1659155    0.2214254    48.530325   61.1211548    0.0787201          -
      74   -0.9958049    0.1533689    0.1749325    0.2326444    48.757910   61.2134399    0.0922852          -
      75   -0.9569403    0.1601057    0.1841927    0.2440508    49.001866   61.3019104    0.0884705          -
      76   -0.8788171    0.1668549    0.1937056    0.2556607    49.258918   61.3708344    0.0689240          -
      77   -0.7646403    0.1736355    0.2034674    0.2674850    49.523140   61.4084473    0.0376129          -
      78   -0.6190939    0.1804657    0.2134581    0.2795214    49.787530   61.4103088    0.0018616          -
      79   -0.4481492    0.1873608    0.2236500    0.2917591    50.045710   61.3769531   -0.0333557          -
      80   -0.2588190    0.1943254    0.2340012    0.3041692    50.292182   61.3149414   -0.0620117          -
      81   -0.0588708    0.2013531    0.2444668    0.3167129    50.523701   61.2342072   -0.0807343          -
      82    0.1434926    0.2084255    0.2549973    0.3293399    50.738680   61.1463470   -0.0878601   53.85945
      83    0.3399692    0.2155085    0.2655516    0.3419964    50.938932   61.0678253   -0.0785217   52.07385
      84    0.5224986    0.2225628    0.2760944    0.3546299    51.127327   61.0049896   -0.0628357   50.28859
      85    0.6835923    0.2295408    0.2866030    0.3671924    51.308701   60.9672546   -0.0377350   48.51095
      86    0.8166416    0.2363977    0.2970686    0.3796494    51.488341   60.9581299   -0.0091248   46.74654
      87    0.9161880    0.2430916    0.3074923    0.3919758    51.671456   60.9767303    0.0186005   44.99974
      88    0.9781476    0.2495899    0.3178864    0.4041619    51.862607   61.0190125    0.0422821   43.27281
      89    0.9999786    0.2558746    0.3282661    0.4162097    52.064543   61.0774841    0.0584717   41.56614
      90    0.9807853    0.2619381    0.3386497    0.4281299    52.278841   61.1426239    0.0651398   39.87874
      91    0.9213551    0.2677870    0.3490467    0.4399358    52.504751   61.2048798    0.0622559   38.20884
      92    0.8241262    0.2734356    0.3594599    0.4516397    52.740311   61.2561951    0.0513153   36.55456
      93    0.6930874    0.2789059    0.3698807    0.4632496    52.982142   61.2897797    0.0335846   34.91426
      94    0.5336145    0.2842178    0.3802862    0.4747603    53.226343   61.3024445    0.0126648   33.28794
      95    0.3522500    0.2893858    0.3906431    0.4861545    53.469201   61.2949066   -0.0075378   31.67719
      96    0.1564345    0.2944183    0.4009094    0.4974038    53.707326   61.2703705   -0.0245361   30.08508
      97   -0.0457989    0.2993097    0.4110422    0.5084703    53.938914   61.2347870   -0.0355835   28.51628
      98   -0.2461533    0.3040428    0.4209948    0.5193059    54.163148   61.1960602   -0.0387268   26.97705
      99   -0.4364092    0.3085899    0.4307308    0.5298649    54.380925   61.1614532   -0.0346069   25.47379
     100   -0.6087614    0.3129148    0.4402237    0.5401043    54.594453   61.1386871   -0.0227661   24.01288
     101   -0.7561391    0.3169785    0.4494581    0.5499890    54.806757   61.1323395   -0.0063477   22.59992
     102   -0.8724960    0.3207445    0.4584351    0.5594996    55.021405   61.1448212    0.0124817   21.23862
     103   -0.9530586    0.3241816    0.4671659    0.5686279    55.241969   61.1757660    0.0309448   19.93113
     104   -0.9945219    0.3272724    0.4756708    0.5773820    55.471138   61.2226257    0.0468597   18.67726
     105   -0.9951847    0.3300085    0.4839754    0.5857797    55.711081   61.2794952    0.0568695   17.47529
     106   -0.9550199    0.3323994    0.4921055    0.5938494    55.962404   61.3401489    0.0606537   16.32163
     107   -0.8756753    0.3344641    0.5000782    0.6016182    56.224462   61.3977051    0.0575562   15.21254
     108   -0.7604060    0.3362303    0.5079041    0.6091119    56.495614   61.4459839    0.0482788   14.14408
     109   -0.6139408    0.3377314    0.5155802    0.6163484    56.773152   61.4804077    0.0344238   13.11311
     110   -0.4422887    0.3389978    0.5230932    0.6233346    57.054184   61.4988251    0.0184174   12.11781
     111   -0.2524916    0.3400564    0.5304193    0.6300659    57.335718   61.5015259    0.0027008   11.15782
     112   -0.0523360    0.3409214    0.5375261    0.6365232    57.615432   61.4917145   -0.0098114   10.23490
     113    0.1499668    0.3415976    0.5443802    0.6426809    57.891805   61.4741974   -0.0175171    9.35184
     114    0.3461171    0.3420763    0.5509520    0.6485093    58.164587   61.4548187   -0.0193787    8.51248
     115    0.5280679    0.3423386    0.5572195    0.6539796    58.434711   61.4403229   -0.0144958    7.72099
     116    0.6883546    0.3423615    0.5631695    0.6590685    58.703785   61.4352570   -0.0050659    6.98115
     117    0.8204014    0.3421144    0.5688047    0.6637629    58.974689   61.4447784    0.0095215    6.29590
     118    0.9187912    0.3415756    0.5741415    0.6680661    59.250197   61.4692383    0.0244598    5.66596
     119    0.9794874    0.3407269    0.5792027    0.6719900    59.533029   61.5083313    0.0390930    5.09090
     120    1.0000000    0.3395634    0.5840282    0.6755681    59.825595   61.5603027    0.0519714    4.56705
     121    0.9794874    0.3380938    0.5886526    0.6788367    60.129012   61.6183929    0.0580902    4.08984
     122    0.9187912    0.3363380    0.5931110    0.6818387    60.443541   61.6774597    0.0590668    3.65341
     123    0.8204014    0.3343277    0.5974312    0.6846160    60.768243   61.7316589    0.0541992    3.25159
     124    0.6883546    0.3321018    0.6016321    0.6872065    61.101237   61.7757263    0.0440674    2.87847
     125    0.5280679    0.3297024    0.6057158    0.6896341    61.439723   61.8052826    0.0295563    2.52985
     126    0.3461171    0.3271666    0.6096773    0.6919136    61.780993   61.8202515    0.0149689    2.20273
     127    0.1499668    0.3245239    0.6134996    0.6940444    62.122428   61.8207092    0.0004578    1.89620
     128   -0.0523360    0.3217955    0.6171579    0.6960145    62.461784   61.8096771   -0.0110321    1.61098
     129   -0.2524916    0.3189878    0.6206255    0.6978032    62.797833   61.7923126   -0.0173645    1.34942
     130   -0.4422887    0.3160934    0.6238842    0.6993901    63.130763   61.7757111   -0.0166016    1.11465
     131   -0.6139408    0.3130970    0.6269197    0.7007554    63.461486   61.7638550   -0.0118561    0.91071
     132   -0.7604060    0.3099766    0.6297283    0.7018855    63.791809   61.7615509   -0.0023041    0.74197
     133   -0.8756753    0.3067074    0.6323223    0.7027809    64.124336   61.7733765    0.0118256    0.61178
     134   -0.9550199    0.3032703    0.6347256    0.7034554    64.461642   61.7987823    0.0254059    0.52069
     135   -0.9951847    0.2996540    0.6369705    0.7039346    64.806007   61.8369598    0.0381775    0.46442
     136   -0.9945219    0.2958546    0.6390963    0.7042542    65.159333   61.8840637    0.0471039    0.43323
     137   -0.9530586    0.2918873    0.6411428    0.7044589    65.522080   61.9348755    0.0508118    0.41518
     138   -0.8724960    0.2877741    0.6431446    0.7045913    65.893943   61.9830475    0.0481720    0.40087
     139   -0.7561391    0.2835484    0.6451283    0.7046915    66.273433   62.0238342    0.0407867    0.38469
     140   -0.6087614    0.2792511    0.6471100    0.7047925    66.658075   62.0516052    0.0277710    0.36438
     141   -0.4364092    0.2749176    0.6490898    0.7049094    67.045242   62.0644684    0.0128632    0.34042
     142   -0.2461533    0.2705851    0.6510572    0.7050474    67.431804   62.0617371   -0.0027313    0.31456
     143   -0.0457989    0.2662783    0.6529932    0.7051980    67.815295   62.0453949   -0.0163422    0.28930
     144    0.1564345    0.2620068    0.6548672    0.7053358    68.194073   62.0198822   -0.0255127    0.26876
     145    0.3522500    0.2577734    0.6566544    0.7054375    68.567228   61.9902039   -0.0296783    0.25666
     146    0.5336145    0.2535639    0.6583328    0.7054763    68.935280   61.9632111   -0.0269928    0.25671
     147    0.6930874    0.2493553    0.6598873    0.7054285    69.299645   61.9429169   -0.0202942    0.27128
     148    0.8241262    0.2451200    0.6613159    0.7052819    69.662524   61.9354706   -0.0074463    0.29975
     149    0.9213551    0.2408295    0.6626291    0.7050363    70.026561   61.9413452    0.0058746    0.33937
     150    0.9807853    0.2364597    0.6638460    0.7047019    70.394271   61.9611664    0.0198212    0.38679
     151    0.9999786    0.2319965    0.6650009    0.7043072    70.767832   61.9922638    0.0310974    0.43772
     152    0.9781476    0.2274361    0.6661224    0.7038794    71.148411   62.0297546    0.0374908    0.48950
     153    0.9161880    0.2227888    0.6672497    0.7034607    71.536288   62.0686493    0.0388947    0.53826
     154    0.8166416    0.2180748    0.6684084    0.7030835    71.930576   62.1027985    0.0341492    0.58167
     155    0.6835923    0.2133236    0.6696177    0.7027765    72.329410   62.1267090    0.0239105    0.61752
     156    0.5224986    0.2085695    0.6708822    0.7025555    72.730135   62.1372070    0.0104980    0.64458
