# PMU_padrao on SAPHO - cocotb fast sim results
# A=1 f1=62 Hz f0=60 Hz Fs=1920 Hz Fr=60 Hz phi=0.7853981634 rad N=1600 Q20
# TVE compares y_hw[n] against X[n-82] (FIR group delay); '-' while n < 82
#      n         x[n]        Re_hw        Im_hw       abs_hw     fase_deg        fe_hw     ROCOF_hw    TVE_pct
     260   -0.9914449   -0.2594032    0.6512976    0.7010553   111.716740   61.9941101    0.0703430    0.85776
     261   -0.9448060   -0.2636557    0.6491756    0.7006735   112.103998   62.0649567    0.0708466    0.91054
     262   -0.8594064   -0.2680521    0.6470547    0.7003797   112.502515   62.1257782    0.0608215    0.95137
     263   -0.7387495   -0.2725725    0.6449957    0.7002251   112.908719   62.1659546    0.0401764    0.97497
     264   -0.5877853   -0.2771683    0.6430445    0.7002346   113.317252   62.1789551    0.0130005    0.97887
     265   -0.4127070   -0.2817812    0.6412210    0.7004035   113.722834   62.1630249   -0.0159302    0.96310
     266   -0.2206974   -0.2863493    0.6395273    0.7007076   114.120519   62.1207733   -0.0422516    0.92889
     267   -0.0196337   -0.2908106    0.6379385    0.7010965   114.506340   62.0577698   -0.0630035    0.88009
     268    0.1822355   -0.2951241    0.6364040    0.7015043   114.878896   61.9868469   -0.0709229    0.82338
     269    0.3766285   -0.2992668    0.6348696    0.7018689   115.238400   61.9174347   -0.0694122    0.76654
     270    0.5555702   -0.3032417    0.6332693    0.7021293   115.587483   61.8616943   -0.0557404    0.72018
     271    0.7117196   -0.3070745    0.6315470    0.7022438   115.930225   61.8282318   -0.0334625    0.69440
     272    0.8386706   -0.3108149    0.6296568    0.7021920   116.272137   61.8231201   -0.0051117    0.69613
     273    0.9312149   -0.3145189    0.6275826    0.7019843   116.618172   61.8455200    0.0223999    0.72452
     274    0.9855561   -0.3182526    0.6253281    0.7016551   116.973225   61.8938293    0.0483093    0.77239
     275    0.9994646   -0.3220711    0.6229191    0.7012546   117.340554   61.9589081    0.0650787    0.82979
     276    0.9723699   -0.3260174    0.6204062    0.7008503   117.721488   62.0316010    0.0726929    0.88619
     277    0.9053836   -0.3301077    0.6178503    0.7005070   118.114888   62.0982208    0.0666199    0.93351
     278    0.8012538   -0.3343382    0.6153145    0.7002813   118.517953   62.1497498    0.0515289    0.96577
     279    0.6642524   -0.3386774    0.6128550    0.7002097   118.926025   62.1761780    0.0264282    0.97942
     280    0.5000000   -0.3430758    0.6105099    0.7003023   119.333790   62.1745605   -0.0016174    0.97325
     281    0.3152350   -0.3474722    0.6083002    0.7005470   119.735797   62.1439972   -0.0305634    0.94745
     282    0.1175374   -0.3518028    0.6062155    0.7009012   120.127724   62.0902710   -0.0537262    0.90524
     283   -0.0849822   -0.3560123    0.6042261    0.7013088   120.506755   62.0214386   -0.0688324    0.85134
     284   -0.2840153   -0.3600636    0.6022806    0.7017034   120.872398   61.9500732   -0.0713654    0.79323
     285   -0.4713967   -0.3639383    0.6003180    0.7020205   121.226029   61.8862305   -0.0638428    0.74046
     286   -0.6394390   -0.3676481    0.5982742    0.7022088   121.571324   61.8414307   -0.0447998    0.70370
     287   -0.7812482   -0.3712234    0.5960960    0.7022374   121.912908   61.8213959   -0.0200348    0.69179
     288   -0.8910065   -0.3747177    0.5937462    0.7021025   122.256334   61.8316040    0.0102081    0.70780
     289   -0.9642112   -0.3781900    0.5912123    0.7018259   122.606466   61.8674622    0.0358582    0.74752
     290   -0.9978589   -0.3817062    0.5885038    0.7014531   122.967623   61.9260559    0.0585938    0.80153
     291   -0.9905693   -0.3853178    0.5856543    0.7010426   123.342001   61.9967346    0.0706787    0.85952
     292   -0.9426415   -0.3890591    0.5827169    0.7006611   123.729606   62.0672150    0.0704803    0.91224
     293   -0.8560416   -0.3929453    0.5797558    0.7003733   124.128527   62.1272125    0.0599976    0.95228
     294   -0.7343225   -0.3969612    0.5768318    0.7002236   124.534775   62.1668701    0.0396576    0.97529
     295   -0.5824777   -0.4010715    0.5739975    0.7002368   124.943308   62.1788330    0.0119629    0.97879
     296   -0.4067366   -0.4052238    0.5712891    0.7004124   125.348646   62.1618042   -0.0170288    0.96211
     297   -0.2143092   -0.4093552    0.5687132    0.7007184   125.746035   62.1191254   -0.0426788    0.92760
     298   -0.0130896   -0.4134026    0.5662622    0.7011096   126.131498   62.0559540   -0.0631714    0.87839
     299    0.1886670   -0.4173145    0.5638943    0.7015185   126.503592   61.9843597   -0.0715942    0.82131
     300    0.3826834   -0.4210587    0.5615559    0.7018799   126.862829   61.9158173   -0.0685425    0.76479
     301    0.5610003   -0.4246235    0.5591879    0.7021369   127.211490   61.8595428   -0.0562744    0.71877
     302    0.7163019   -0.4280272    0.5567236    0.7022453   127.554250   61.8280334   -0.0315094    0.69397
     303    0.8422172   -0.4313049    0.5541143    0.7021870   127.896052   61.8229828   -0.0050507    0.69672
     304    0.9335804   -0.4345160    0.5513315    0.7019762   128.242387   61.8469543    0.0239716    0.72570
     305    0.9866433   -0.4377193    0.5483646    0.7016424   128.597805   61.8955841    0.0486298    0.77423
     306    0.9992290   -0.4409781    0.5452318    0.7012413   128.965586   61.9614563    0.0658722    0.83166
     307    0.9708212   -0.4443407    0.5419731    0.7008377   129.346869   62.0335388    0.0720825    0.88792
     308    0.9025853   -0.4478388    0.5386438    0.7004975   129.740783   62.1005859    0.0670471    0.93483
     309    0.7973207   -0.4514761    0.5353098    0.7002765   130.144022   62.1508331    0.0502472    0.96651
     310    0.6593458   -0.4552345    0.5320301    0.7002103   130.552135   62.1763000    0.0254669    0.97950
     311    0.4943212   -0.4590731    0.5288525    0.7003092   130.959780   62.1741943   -0.0021057    0.97253
     312    0.3090170   -0.4629335    0.5258064    0.7005568   131.361523   62.1425018   -0.0316925    0.94635
     313    0.1110353   -0.4667530    0.5228968    0.7009133   131.753037   62.0881958   -0.0543060    0.90371
     314   -0.0915016   -0.4704723    0.5201035    0.7013215   132.131691   62.0194397   -0.0687561    0.84958
     315   -0.2902847   -0.4740438    0.5173845    0.7017153   132.496886   61.9476776   -0.0717621    0.79138
     316   -0.4771588   -0.4774380    0.5146799    0.7020274   132.850251   61.8845215   -0.0631561    0.73919
     317   -0.6444573   -0.4806557    0.5119305    0.7022127   133.195299   61.8402100   -0.0443115    0.70284
     318   -0.7853169   -0.4837151    0.5090733    0.7022363   133.536846   61.8217163   -0.0184937    0.69176
     319   -0.8939588   -0.4866619    0.5060635    0.7020969   133.880370   61.8316956    0.0099792    0.70857
     320   -0.9659258   -0.4895525    0.5028753    0.7018157   134.230880   61.8694611    0.0377655    0.74901
     321   -0.9982656   -0.4924526    0.4995089    0.7014404   134.592438   61.9281616    0.0587006    0.80334
     322   -0.9896514   -0.4954185    0.4959879    0.7010303   134.967096   61.9983521    0.0701904    0.86124
     323   -0.9404366   -0.4984970    0.4923553    0.7006519   135.355135   62.0692444    0.0708923    0.91351
     324   -0.8526402   -0.5017118    0.4886713    0.7003673   135.754380   62.1290741    0.0598297    0.95313
     325   -0.7298641   -0.5050592    0.4849997    0.7002210   136.160711   62.1674500    0.0383759    0.97576
     326   -0.5771452   -0.5085192    0.4813995    0.7002409   136.569272   62.1787567    0.0113068    0.97841
     327   -0.4007488   -0.5120411    0.4779129    0.7004190   136.974463   62.1610565   -0.0177002    0.96144
     328   -0.2079117   -0.5155687    0.4745646    0.7007301   137.371423   62.1168823   -0.0441742    0.92615
     329   -0.0065449   -0.5190372    0.4713516    0.7011220   137.756570   62.0539551   -0.0629272    0.87672
     330    0.1950903   -0.5223875    0.4682484    0.7015306   138.128154   61.9820251   -0.0719299    0.81945
     331    0.3887220   -0.5255775    0.4652061    0.7018892   138.486891   61.9132080   -0.0688171    0.76309
     332    0.5664062   -0.5285873    0.4621658    0.7021409   138.835452   61.8587952   -0.0544128    0.71784
     333    0.7208536   -0.5314188    0.4590645    0.7022436   139.178007   61.8268738   -0.0319214    0.69390
     334    0.8457278   -0.5341024    0.4558458    0.7021829   139.519901   61.8234406   -0.0034332    0.69720
     335    0.9359059   -0.5366840    0.4524670    0.7019659   139.866470   61.8482208    0.0247803    0.72718
     336    0.9876883   -0.5392246    0.4489107    0.7016295   140.222229   61.8973846    0.0491638    0.77610
     337    0.9989507   -0.5417881    0.4451809    0.7012278   140.590458   61.9639435    0.0665588    0.83358
     338    0.9692309   -0.5444298    0.4413071    0.7008250   140.972265   62.0360260    0.0720825    0.88968
     339    0.8997483   -0.5471888    0.4373417    0.7004879   141.366335   62.1019135    0.0658875    0.93617
     340    0.7933533   -0.5500860    0.4333420    0.7002713   141.769975   62.1526947    0.0507812    0.96730
     341    0.6544109   -0.5531111    0.4293747    0.7002103   142.178162   62.1768799    0.0241852    0.97967
     342    0.4886212   -0.5562334    0.4254932    0.7003143   142.585656   62.1731873   -0.0036926    0.97206
     343    0.3027858   -0.5594015    0.4217367    0.7005654   142.987104   62.1408997   -0.0322876    0.94537
     344    0.1045285   -0.5625563    0.4181232    0.7009255   143.378207   62.0860596   -0.0548401    0.90210
     345   -0.0980171   -0.5656338    0.4146414    0.7013338   143.756487   62.0173340   -0.0687256    0.84782
     346   -0.2965416   -0.5685797    0.4112606    0.7017251   144.121326   61.9456482   -0.0716858    0.78978
     347   -0.4829003   -0.5713558    0.4079304    0.7020361   144.474338   61.8829193   -0.0627289    0.73762
     348   -0.6494480   -0.5739460    0.4045868    0.7022140   144.819173   61.8391266   -0.0437927    0.70233
     349   -0.7893520   -0.5763626    0.4011698    0.7022329   145.160650   61.8211670   -0.0179596    0.69205
     350   -0.8968727   -0.5786390    0.3976231    0.7020878   145.504340   61.8330231    0.0118561    0.70984
     351   -0.9675991   -0.5808277    0.3939133    0.7018037   145.855156   61.8710785    0.0380554    0.75076
     352   -0.9986295   -0.5829906    0.3900261    0.7014260   146.217114   61.9302216    0.0591431    0.80541
     353   -0.9886910   -0.5851908    0.3859739    0.7010165   146.592378   62.0013733    0.0711517    0.86316
     354   -0.9381913   -0.5874767    0.3817930    0.7006389   146.980716   62.0710297    0.0696564    0.91531
     355   -0.8492022   -0.5898876    0.3775349    0.7003570   147.380289   62.1308899    0.0598602    0.95460
     356   -0.7253744   -0.5924339    0.3732653    0.7002178   147.786864   62.1685333    0.0376434    0.97636
     357   -0.5717880   -0.5951014    0.3690453    0.7002428   148.195356   62.1784363    0.0099030    0.97837
     358   -0.3947439   -0.5978518    0.3649254    0.7004265   148.600341   62.1599579   -0.0184784    0.96068
     359   -0.2015053   -0.6006327    0.3609400    0.7007405   148.996954   62.1152954   -0.0446625    0.92492
     360   -0.0000000   -0.6033821    0.3570995    0.7011348   149.381687   62.0517426   -0.0635529    0.87502
     361    0.2015053   -0.6060343    0.3533888    0.7015420   149.752819   61.9795990   -0.0721436    0.81775
     362    0.3947439   -0.6085424    0.3497686    0.7018989   150.111236   61.9113770   -0.0682220    0.76149
     363    0.5717880   -0.6108723    0.3461847    0.7021459   150.459530   61.8574677   -0.0539093    0.71682
     364    0.7253744   -0.6130161    0.3425751    0.7022439   150.801999   61.8263397   -0.0311279    0.69364
     365    0.8492022   -0.6149912    0.3388777    0.7021768   151.143983   61.8239746   -0.0023651    0.69799
     366    0.9381913   -0.6168365    0.3350439    0.7019557   151.490747   61.8493652    0.0253906    0.72866
     367    0.9886910   -0.6186075    0.3310432    0.7016159   151.846867   61.8992920    0.0499268    0.77806
     368    0.9986295   -0.6203690    0.3268681    0.7012135   152.215568   61.9663086    0.0670166    0.83558
     369    0.9675991   -0.6221781    0.3225384    0.7008114   152.597685   62.0381012    0.0717926    0.89157
     370    0.8968727   -0.6240883    0.3180952    0.7004789   152.992250   62.1042480    0.0661469    0.93741
     371    0.7893520   -0.6261244    0.3135939    0.7002663   153.396040   62.1532593    0.0490112    0.96808
     372    0.6494480   -0.6282930    0.3090992    0.7002103   153.804354   62.1775970    0.0243378    0.97987
     373    0.4829003   -0.6305723    0.3046722    0.7003189   154.211662   62.1726532   -0.0049438    0.97168
     374    0.2965416   -0.6329222    0.3003588    0.7005754   154.612912   62.1398010   -0.0328522    0.94428
     375    0.0980171   -0.6352825    0.2961884    0.7009361   155.003611   62.0836639   -0.0561371    0.90083
     376   -0.1045285   -0.6375942    0.2921638    0.7013459   155.381399   62.0148315   -0.0688324    0.84612
     377   -0.3027858   -0.6397953    0.2882633    0.7017363   155.745790   61.9434814   -0.0713501    0.78801
     378   -0.4886212   -0.6418371    0.2844439    0.7020422   156.098448   61.8807983   -0.0626831    0.73642
     379   -0.6544109   -0.6436958    0.2806473    0.7022159   156.443105   61.8381805   -0.0426178    0.70174
     380   -0.7933533   -0.6453695    0.2768097    0.7022289   156.784704   61.8216858   -0.0164948    0.69247
     381   -0.8997483   -0.6468830    0.2728748    0.7020814   157.128511   61.8335266    0.0118408    0.71072
     382   -0.9692309   -0.6482754    0.2687941    0.7017914   157.479664   61.8727570    0.0392303    0.75254
     383   -0.9989507   -0.6496105    0.2645464    0.7014119   157.841956   61.9321899    0.0594330    0.80743
     384   -0.9876883   -0.6509495    0.2601290    0.7010009   158.217625   62.0033417    0.0711517    0.86533
     385   -0.9359059   -0.6523533    0.2555695    0.7006287   158.606472   62.0739288    0.0705872    0.91671
     386   -0.8457278   -0.6538610    0.2509127    0.7003509   159.006192   62.1320953    0.0581665    0.95548
     387   -0.7208536   -0.6554985    0.2462168    0.7002150   159.412938   62.1690369    0.0369415    0.97688
     388   -0.5664062   -0.6572666    0.2415476    0.7002461   159.821458   62.1788025    0.0097656    0.97815
     389   -0.3887220   -0.6591349    0.2369614    0.7004352   160.226306   62.1589966   -0.0198059    0.95978
     390   -0.1950903   -0.6610556    0.2325029    0.7007511   160.622479   62.1130524   -0.0459442    0.92368
     391    0.0065449   -0.6629734    0.2281923    0.7011458   161.006778   62.0493774   -0.0636749    0.87356
     392    0.2079117   -0.6648235    0.2240276    0.7015545   161.377569   61.9775543   -0.0718231    0.81593
     393    0.4007488   -0.6665459    0.2199802    0.7019079   161.735552   61.9092865   -0.0682678    0.75995
     394    0.5771452   -0.6681013    0.2160025    0.7021513   162.083568   61.8557739   -0.0535126    0.71573
     395    0.7298641   -0.6694689    0.2120342    0.7022443   162.425961   61.8259583   -0.0298157    0.69334
     396    0.8526402   -0.6706533    0.2080126    0.7021717   162.767987   61.8241730   -0.0017853    0.69862
     397    0.9404366   -0.6716843    0.2038813    0.7019454   163.114997   61.8505859    0.0264130    0.73014
     398    0.9896514   -0.6726122    0.1996002    0.7016035   163.471544   61.9016876    0.0511017    0.77986
     399    0.9982656   -0.6734953    0.1951513    0.7011989   163.840578   61.9681244    0.0664368    0.83763
     400    0.9659258   -0.6743994    0.1905413    0.7007999   164.223170   62.0406189    0.0724945    0.89315
     401    0.8939588   -0.6753769    0.1858006    0.7004683   164.618078   62.1059418    0.0653229    0.93890
     402    0.7853169   -0.6764688    0.1809797    0.7002598   165.022094   62.1544952    0.0485535    0.96907
     403    0.6444573   -0.6776924    0.1761417    0.7002092   165.430400   62.1776733    0.0231781    0.98020
     404    0.4771588   -0.6790400    0.1713486    0.7003253   165.837670   62.1722412   -0.0054321    0.97105
     405    0.2902847   -0.6804752    0.1666546    0.7005857   166.238612   62.1382294   -0.0340118    0.94311
     406    0.0915016   -0.6819496    0.1620989    0.7009503   166.628978   62.0819702   -0.0562592    0.89904
     407   -0.1110353   -0.6834011    0.1576958    0.7013594   167.006353   62.0125275   -0.0694427    0.84426
     408   -0.3090170   -0.6847677    0.1534367    0.7017476   167.370284   61.9410400   -0.0714874    0.78623
     409   -0.4943212   -0.6859941    0.1492863    0.7020501   167.722697   61.8793793   -0.0616608    0.73503
     410   -0.6593458   -0.6870441    0.1451941    0.7022186   168.067175   61.8370056   -0.0423737    0.70110
     411   -0.7973207   -0.6879063    0.1410980    0.7022277   168.408700   61.8214417   -0.0155640    0.69250
     412   -0.9025853   -0.6885881    0.1369362    0.7020720   168.752602   61.8343048    0.0128632    0.71203
     413   -0.9708212   -0.6891298    0.1326542    0.7017813   169.104113   61.8744507    0.0401459    0.75401
     414   -0.9992290   -0.6895800    0.1282187    0.7013990   169.466863   61.9346619    0.0602112    0.80926
     415   -0.9866433   -0.6900005    0.1236181    0.7009866   169.842842   62.0055084    0.0708466    0.86733
     416   -0.9335804   -0.6904583    0.1188650    0.7006151   170.232061   62.0757446    0.0702362    0.91859
     417   -0.8422172   -0.6910028    0.1139956    0.7003427   170.632223   62.1339111    0.0581665    0.95667
     418   -0.7163019   -0.6916666    0.1090651    0.7002127   171.039130   62.1699677    0.0360565    0.97733
     419   -0.5610003   -0.6924620    0.1041374    0.7002487   171.447539   62.1784668    0.0084991    0.97803
     420   -0.3826834   -0.6933727    0.0992718    0.7004432   171.852202   62.1578979   -0.0205688    0.95895
     421   -0.1886670   -0.6943598    0.0945215    0.7007637   172.248112   62.1116180   -0.0462799    0.92219
     422    0.0130896   -0.6953716    0.0899181    0.7011612   172.631998   62.0471344   -0.0644836    0.87157
     423    0.2143092   -0.6963415    0.0854712    0.7015674   173.002337   61.9750519   -0.0720825    0.81406
     424    0.4067366   -0.6972094    0.0811644    0.7019178   173.359904   61.9072571   -0.0677948    0.75832
     425    0.5824777   -0.6979256    0.0769567    0.7021556   173.707701   61.8545685   -0.0526886    0.71483
     426    0.7343225   -0.6984606    0.0727959    0.7022438   174.049927   61.8254700   -0.0290985    0.69318
     427    0.8560416   -0.6988058    0.0686169    0.7021665   174.392012   61.8244476   -0.0010223    0.69928
     428    0.9426415   -0.6989794    0.0643587    0.7019360   174.739309   61.8520050    0.0275574    0.73149
     429    0.9905693   -0.6990223    0.0599737    0.7015903   175.096227   61.9033661    0.0513611    0.78174
     430    0.9978589   -0.6989918    0.0554323    0.7011863   175.465748   61.9707031    0.0673370    0.83939
     431    0.9642112   -0.6989479    0.0507298    0.7007865   175.848742   62.0426941    0.0719910    0.89499
     432    0.8910065   -0.6989555    0.0458860    0.7004601   176.243954   62.1080017    0.0653076    0.94004
     433    0.7812482   -0.6990585    0.0409422    0.7002564   176.648152   62.1556702    0.0476685    0.96962
     434    0.6394390   -0.6992884    0.0359554    0.7002121   177.056605   62.1780853    0.0224152    0.98000
     435    0.4713967   -0.6996441    0.0309906    0.7003301   177.463752   62.1713715   -0.0067139    0.97068
     436    0.2840153   -0.7001095    0.0261078    0.7005961   177.864372   62.1367798   -0.0345917    0.94194
     437    0.0849822   -0.7006369    0.0213528    0.7009622   178.254381   62.0799103   -0.0568695    0.89759
     438   -0.1175374   -0.7011719    0.0167532    0.7013720   178.631284   62.0101776   -0.0697327    0.84252
     439   -0.3152350   -0.7016506    0.0123110    0.7017586   178.994806   61.9388580   -0.0713196    0.78451
     440   -0.5000000   -0.7020121    0.0080023    0.7020577   179.346910   61.8775635   -0.0612946    0.73367
     441   -0.6642524   -0.7022123    0.0037851    0.7022225   179.691162   61.8361664   -0.0413971    0.70026
     442   -0.8012538   -0.7022228   -0.0003996    0.7022229  -179.967397   61.8212891   -0.0148773    0.69300
     443   -0.9053836   -0.7020493   -0.0046158    0.7020644  -179.623301   61.8352966    0.0140076    0.71310
     444   -0.9723699   -0.7017107   -0.0089226    0.7017674  -179.271497   61.8759918    0.0406952    0.75602
     445   -0.9994646   -0.7012587   -0.0133629    0.7013860  -178.908328   61.9368286    0.0608368    0.81112
     446   -0.9855561   -0.7007437   -0.0179596    0.7009738  -178.531869   62.0079651    0.0711365    0.86910
     447   -0.9312149   -0.7002363   -0.0227127    0.7006046  -178.142218   62.0779877    0.0700226    0.92004
     448   -0.8386706   -0.6997919   -0.0275946    0.7003358  -177.741852   62.1353760    0.0573883    0.95767
     449   -0.7117196   -0.6994534   -0.0325594    0.7002108  -177.334818   62.1707306    0.0353546    0.97774
     450   -0.5555702   -0.6992445   -0.0375471    0.7002519  -176.926358   62.1783295    0.0075989    0.97783
     451   -0.3766285   -0.6991615   -0.0424938    0.7004517  -176.521941   62.1567230   -0.0216064    0.95805
     452   -0.1822355   -0.6991749   -0.0473413    0.7007758  -176.126398   62.1096497   -0.0470734    0.92073
     453    0.0196337   -0.6992378   -0.0520487    0.7011723  -175.742964   62.0449524   -0.0646973    0.87007
     454    0.2206974   -0.6992922   -0.0565948    0.7015786  -175.373044   61.9727783   -0.0721741    0.81236
     455    0.4127070   -0.6992741   -0.0609846    0.7019283  -175.015770   61.9052429   -0.0675354    0.75658
     456    0.5877853   -0.6991243   -0.0652456    0.7021623  -174.668327   61.8531342   -0.0521088    0.71354
     457    0.7387495   -0.6988029   -0.0694275    0.7022434  -174.326168   61.8249359   -0.0281982    0.69302
     458    0.8594064   -0.6982946   -0.0735912    0.7021617  -173.983972   61.8249054   -0.0000305    0.69989
     459    0.9448060   -0.6976023   -0.0777988    0.7019271  -173.636486   61.8533325    0.0284271    0.73280
     460    0.9914449   -0.6967573   -0.0821066    0.7015784  -173.279202   61.9053650    0.0520325    0.78348
     461    0.9974095   -0.6958103   -0.0865536    0.7011730  -172.909259   61.9730530    0.0676880    0.84128
     462    0.9624552   -0.6948195   -0.0911570    0.7007736  -172.525758   62.0450897    0.0720367    0.89676
     463    0.8880161   -0.6938524   -0.0959072    0.7004494  -172.130203   62.1097870    0.0646973    0.94154
     464    0.7771460   -0.6929636   -0.1007738    0.7002527  -171.725799   62.1567841    0.0469971    0.97022
     465    0.6343933   -0.6921883   -0.1057053    0.7002130  -171.317344   62.1782990    0.0215149    0.98006
     466    0.4656145   -0.6915426   -0.1106396    0.7003373  -170.910309   62.1707001   -0.0075989    0.96994
     467    0.2777338   -0.6910172   -0.1155138    0.7006056  -170.509906   62.1353607   -0.0353394    0.94090
     468    0.0784591   -0.6905804   -0.1202726    0.7009756  -170.120366   62.0776672   -0.0576935    0.89587
     469   -0.1240345   -0.6901789   -0.1248808    0.7013858  -169.743881   62.0078430   -0.0698242    0.84055
     470   -0.3214395   -0.6897516   -0.1293230    0.7017704  -169.380780   61.9363708   -0.0714722    0.78262
     471   -0.5056574   -0.6892347   -0.1336117    0.7020660  -169.028999   61.8760071   -0.0603638    0.73217
     472   -0.6691306   -0.6885757   -0.1377802    0.7022250  -168.684864   61.8352661   -0.0407410    0.69962
     473   -0.8051526   -0.6877384   -0.1418810    0.7022210  -168.343367   61.8213806   -0.0138855    0.69314
     474   -0.9081432   -0.6867132   -0.1459770    0.7020572  -167.999072   61.8362274    0.0148468    0.71412
     475   -0.9738770   -0.6855106   -0.1501293    0.7017575  -167.647045   61.8776703    0.0414429    0.75747
     476   -0.9996573   -0.6841669   -0.1543922    0.7013710  -167.283378   61.9391022    0.0614319    0.81323
     477   -0.9844266   -0.6827383   -0.1587963    0.7009621  -166.906518   62.0101624    0.0710602    0.87071
     478   -0.9288096   -0.6812849   -0.1633549    0.7005954  -166.516474   62.0800781    0.0699158    0.92129
     479   -0.8350880   -0.6798677   -0.1680517    0.7003296  -166.115767   62.1370392    0.0569611    0.95857
     480   -0.7071068   -0.6785412   -0.1728487    0.7002105  -165.708665   62.1713409    0.0343018    0.97791
     481   -0.5501164   -0.6773367   -0.1776924    0.7002568  -165.300280   62.1780243    0.0066833    0.97739
     482   -0.3705574   -0.6762619   -0.1825199    0.7004596  -164.896016   62.1556854   -0.0223389    0.95725
     483   -0.1757963   -0.6753035   -0.1872673    0.7007880  -164.500860   62.1076050   -0.0480804    0.91928
     484    0.0261769   -0.6744213   -0.1918869    0.7011881  -164.117844   62.0424652   -0.0651398    0.86798
     485    0.2270763   -0.6735582   -0.1963444    0.7015923  -163.748428   61.9705658   -0.0718994    0.81031
     486    0.4186597   -0.6726522   -0.2006350    0.7019369  -163.391504   61.9035187   -0.0670471    0.75508
     487    0.5930676   -0.6716442   -0.2047758    0.7021674  -163.044200   61.8519592   -0.0515594    0.71253
     488    0.7431448   -0.6704826   -0.2088051    0.7022439  -162.702103   61.8245087   -0.0274506    0.69274
     489    0.8627344   -0.6691408   -0.2127790    0.7021569  -162.359937   61.8251038    0.0005951    0.70050
     490    0.9469301   -0.6676092   -0.2167635    0.7019177  -162.012102   61.8547668    0.0296631    0.73415
     491    0.9922779   -0.6659098   -0.2208157    0.7015664  -161.654481   61.9073792    0.0526123    0.78521
     492    0.9969173   -0.6640835   -0.2249861    0.7011602  -161.284038   61.9754486    0.0680695    0.84305
     493    0.9606581   -0.6621866   -0.2292995    0.7007634  -160.900242   62.0472565    0.0718079    0.89815
     494    0.8849876   -0.6602840   -0.2337637    0.7004431  -160.504252   62.1116180    0.0643616    0.94242
     495    0.7730105   -0.6584339   -0.2383547    0.7002487  -160.099620   62.1580353    0.0464172    0.97089
     496    0.6293204   -0.6566858   -0.2430305    0.7002143  -159.691168   62.1783905    0.0203552    0.98008
     497    0.4598124   -0.6550646   -0.2477341    0.7003440  -159.284251   62.1699219   -0.0084686    0.96930
     498    0.2714404   -0.6535730   -0.2523994    0.7006163  -158.884237   62.1335602   -0.0363617    0.93967
     499    0.0719327   -0.6521902   -0.2569695    0.7009888  -158.495065   62.0755920   -0.0579681    0.89418
     500   -0.1305262   -0.6508713   -0.2613964    0.7013997  -158.119113   62.0051117   -0.0704803    0.83856
     501   -0.3276302   -0.6495562   -0.2656574    0.7017814  -157.756273   61.9348755   -0.0702362    0.78091
     502   -0.5112931   -0.6481848   -0.2697487    0.7020740  -157.404867   61.8740997   -0.0607758    0.73072
     503   -0.6739801   -0.6466961   -0.2736950    0.7022284  -157.060926   61.8345947   -0.0395050    0.69884
     504   -0.8090170   -0.6450453   -0.2775412    0.7022197  -156.719426   61.8212433   -0.0133514    0.69318
     505   -0.9108638   -0.6432095   -0.2813463    0.7020500  -156.374945   61.8370819    0.0158386    0.71514
     506   -0.9753423   -0.6411896   -0.2851744    0.7017467  -156.022498   61.8796082    0.0425262    0.75903
     507   -0.9998072   -0.6390123   -0.2890816    0.7013593  -155.658570   61.9411163    0.0615082    0.81490
     508   -0.9832549   -0.6367226   -0.2931128    0.7009499  -155.281205   62.0124512    0.0713348    0.87241
     509   -0.9263644   -0.6343794   -0.2972898    0.7005844  -154.890755   62.0823669    0.0699158    0.92281
     510   -0.8314696   -0.6320486   -0.3016100    0.7003242  -154.489790   62.1382446    0.0558777    0.95936
     511   -0.7024637   -0.6297855   -0.3060455    0.7002097  -154.082474   62.1723022    0.0340576    0.97818
     512   -0.5446390   -0.6276350   -0.3105488    0.7002616  -153.674163   62.1776886    0.0053864    0.97698
     513   -0.3644705   -0.6256161   -0.3150597    0.7004699  -153.270218   62.1544189   -0.0232697    0.95608
     514   -0.1693495   -0.6237240   -0.3195143    0.7008002  -152.875357   62.1057434   -0.0486755    0.91780
     515    0.0327191   -0.6219320   -0.3238564    0.7012007  -152.492822   62.0402527   -0.0654907    0.86627
     516    0.2334454   -0.6201897   -0.3280449    0.7016044  -152.123718   61.9683838   -0.0718689    0.80854
     517    0.4245945   -0.6184387   -0.3320599    0.7019474  -151.767203   61.9012299   -0.0671539    0.75334
     518    0.5983246   -0.6166143   -0.3359060    0.7021724  -151.420276   61.8505554   -0.0506744    0.71147
     519    0.7475083   -0.6146622   -0.3396158    0.7022453  -151.078280   61.8239746   -0.0265808    0.69230
     520    0.8660254   -0.6125393   -0.3432379    0.7021514  -150.735804   61.8262482    0.0022736    0.70123
     521    0.9490136   -0.6102324   -0.3468323    0.7019089  -150.387789   61.8559875    0.0297394    0.73542
     522    0.9930685   -0.6077461   -0.3504610    0.7015542  -150.029804   61.9090881    0.0531006    0.78696
     523    0.9963825   -0.6051140   -0.3541813    0.7011471  -149.658992   61.9778137    0.0687256    0.84489
     524    0.9588197   -0.6023865   -0.3580303    0.7007533  -149.274732   62.0493622    0.0715485    0.89955
     525    0.8819213   -0.5996227   -0.3620234    0.7004344  -148.878441   62.1135254    0.0641632    0.94364
     526    0.7688418   -0.5968885   -0.3661528    0.7002455  -148.473559   62.1592102    0.0456848    0.97142
